procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 1585172      0 15128115    0    0     0 451608 3688  969  1  3 96  0  0  0
32  0      0   5180      0 15128115    0    0     0 221184 3152  685  3  3 94  0  0  0
32  0      0   5180      0 15128115    0    0     0     0 29354 1297 90  0 10  0  0  0
32  0      0   5180      0 15128115    0    0     0     0 31345  580 97  0  3  0  0  0
32  0      0   5180      0 15128115    0    0     0     0 31310  737 97  0  3  0  0  0
20  0      0   5784      0 15128113    0    0     0   140 27434  489 82  0 18  0  0  0
32  0      0  34048      0 13211412    0    0     0    52 17277 2853 21 27 52  0  0  0
32  0      0   1792      0 10928116    0    0     0     0 31787 2653 48 48  4  0  0  0
32  0      0   1792      0 10928116    0    0     0     0 32271 1094 98  0  2  0  0  0
32  0      0   1628      0 10928116    0    0     0     0 32339  400 100  0  0  0  0  0
32  0      0   1628      0 10928114    0    0     0     0 32277  408 100  0  0  0  0  0
30  0      0   1888      0 10928114    0    0     0     0 32208  394 99  0  1  0  0  0
20  0      0   2144      0 10928100    0    0     0    12 23761  584 71  0 29  0  0  0
 1  0      0   3308      0 10928100    0    0     0     0 15557  400 44  0 56  0  0  0
32  0      0      0      0 7712347    0    0     0     0 28400 5686 51 32 16  0  0  0
32  0      0    584      0 6727438    0    0     0     0 27697 2334 70 11 19  0  0  0
32  0      0    284      0 6727424    0    0     0     0 25617 1789 75  1 24  0  0  0
32  0      0    220      0 6727424    0    0     0     0 38483  403 100  0  0  0  0  0
32  0      0    220      0 6727424    0    0     0    12 38821  793 100  0  0  0  0  0
32  0      0    220      0 6727424    0    0     0     0 38416  424 98  1  1  0  0  0
32  0      0    220      0 6727424    0    0     0     0 42081  607 99  1  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
21  0      0    748      0 6727424    0    0     0     0 32350 1072 84  1 15  0  0  0
 3  0      0   1524      0 6727424    0    0     0     0 23202  348 50  1 50  0  0  0
32  0      0    408      0 6727424    0    0     0     0 21612 1452 61  3 36  0  0  0
22  0      0    668      0 6727424    0    0     0    12 28621 1583 85  0 15  0  0  0
 1  0      0   1188      0 6727424    0    0     0     0 2187  386  4  0 96  0  0  0
 1  0      0   1188      0 6727424    0    0     0     0 1122  164  3  0 97  0  0  0
 1  0      0   1188      0 6727424    0    0     0   120 1119  151  3  0 97  0  0  0
 1  0      0   1496      0 6727424    0    0     0     0 1297  449  3  0 97  0  0  0
 1  0      0   1496      0 6727424    0    0     0     0 1112  175  3  0 97  0  0  0
 1  0      0   1496      0 6727424    0    0     0    32 1110  202  2  1 97  0  0  0
 1  0      0   1496      0 6727424    0    0     0     0 1094  170  2  1 97  0  0  0
 1  0      0   1496      0 6727424    0    0     0     0 1154  263  2  1 97  0  0  0
 1  0      0   1496      0 6727424    0    0     0     0 1130  191  2  1 97  0  0  0
 1  0      0   1496      0 6727424    0    0     0     0 1109  158  2  1 97  0  0  0
 1  0      0   1496      0 6727424    0    0     0     0 1100  150  2  1 97  0  0  0
 1  0      0   1496      0 6727424    0    0     0    12 1136  261  3  0 97  0  0  0
 1  0      0   2796      0 6727424    0    0     0     0 1575  728  2  1 97  0  0  0
 1  0      0   2796      0 6727424    0    0     0    24 1135  255  2  1 97  0  0  0
 1  0      0   2796      0 6727424    0    0     0     0 1103  183  2  1 97  0  0  0
 1  0      0   2796      0 6727424    0    0     0     0 1152  309  2  1 97  0  0  0
 1  0      0 7870480      0 7264921    0    0     0     0 1124  202  0  3 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 6248464      0 8886726    0    0     0   316 1238  320  0  3 97  0  0  0
 1  1      0 5335824      0 9799426    0    0     0 442400 3213  723  0  2 97  1  0  0
 1  1      0 4858488      0 10276912    0    0     0 467972 3636  978  0  2 97  1  0  0
 0  2      0 4380024      0 10755516    0    0     0 467972 3333  755  0  2 97  1  0  0
 1  1      0 3903864      0 11231534    0    0     0 466948 3317  662  0  2 97  1  0  0
 1  1      0 3425528      0 11709588    0    0     0 465040 3376  816  0  2 97  1  0  0
 3  0      0 2947420      0 12188659    0    0     0 467052 3433  950  0  2 97  1  0  0
