rocs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0    160      0 7133652    0    0     0 466952 3428 1288  0  3 94  3  0  0
 0  2      0    252      0 7133375    0    0     0 466948 3335 1171  0  3 94  3  0  0
 2  1      0    252      0 7133413    0    0     0 466948 3341 1207  0  3 94  3  0  0
 1  1      0    252      0 7133617    0    0     0 458756 3557 1475  0  3 94  3  0  0
 2  2      0    184      0 7133856    0    0     0 467052 3436 1313  0  3 94  3  0  0
 1  1      0    144      0 7133922    0    0     0 467112 3346 1213  0  3 94  3  0  0
 0  2      0    144      0 7133880    0    0     0 466948 3352 1208  0  3 94  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0   1280      0 7132819    0    0     0 458756 3367 1084  0  3 94  3  0  0
 2  1      0   1280      0 7132785    0    0     0 466948 3460 1199  0  3 94  3  0  0
 2  2      0    768      0 7133447    0    0     0 467060 3352 1055  0  3 94  3  0  0
 0  1      0 8273188      0 7133761    0    0  1024 380928 3098  836  0  3 94  2  0  0
 1  0      0 7511588      0 7514177    0    0 380160     0 2493 2876  0  2 97  1  0  0
 1  1      0 6756144      0 7891521    0    0 377600     0 2493 2809  0  2 97  1  0  0
 1  0      0 6038064      0 8250177    0    0 358656    80 2376 2698  0  2 97  1  0  0
 1  0      0 5519664      0 8508993    0    0 259072     0 2016 1930  1  1 97  1  0  0
 1  1      0 6685116      0 8615986    0    0 106496 45236 1621  996  1  1 97  1  0  0
 1  2      0 6450620      0 8733246    0    0 117248 294912 2517 1678  0  1 97  2  0  0
 0  2      0 6222268      0 8847429    0    0 113920 303104 2481 1613  0  1 97  2  0  0
 1  1      0 5996164      0 8960533    0    0 112644 303104 2992 2414  0  1 97  2  0  0
 0  1      0 5554324      0 9181571    0    0 220672 180224 2541 2127  0  1 97  2  0  0
 2  0      0 4798100      0 9559765    0    0 377088     0 2478 2815  0  2 97  1  0  0
 1  0      0 4139924      0 9888710    0    0 328448    84 2240 2575  0  2 97  1  0  0
 1  0      0 5321760      0 9987496    0    0 98304     0 1472  848  1  1 97  0  0  0
 0  1      0 4566048      0 10365385    0    0 377344     0 2415 2802  0  2 97  1  0  0
 0  1      0 3812640      0 10741705    0    0 376320   164 2484 2904  0  2 97  1  0  0
 1  0      0 3051296      0 11122121    0    0 380160     0 2430 2744  0  2 97  1  0  0
 1  1      0 4071792      0 11301321    0    0 179200    68 1800 1524  1  1 97  1  0  0
 1  0      0 3328916      0 11672369    0    0 370944    24 2469 2665  0  2 97  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 2581144      0 12046025    0    0 373760     0 2431 2775  0  2 97  1  0  0
 1  0      0 1839000      0 12416713    0    0 370688     0 2404 2667  0  2 97  1  0  0
